name	synonyms
<i>trans</i>-2-decenal	"(<i>E</i>)-2-decenal; 3-heptylacrolein; 2-decen-1-al; decenaldehyde; 2-decenal; decylenic aldehyde; "
2,4-dichlorophenoxyacetate	"2,4-dichlorophenoxyacetic acid; 2,4-D; "
5-O-(indol-3-ylacetyl-<i>myo</i>-inositol) D-galactoside	
5'-n-propylthioadenosine	
josamycin	
1-18:2-2-18:3-phosphatidylethanolamine	"1-(9Z,12Z-octadecadienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphoethanolamine; 18:2-18:3-PE; phosphatidylethanolamine (1-18:2-2-18:3); "
2-amino-4-methylphenol	
C55 dolichol diphosphate	"dolichol-11 diphosphate; "
2-amino-4,7-dihydroxypteridine	
7''-O-phosphohygromycin B	
ferric (2,3-dihydroxybenzoylserine)<sub>3</sub>	"hydrolyzed ferric enterobactin complex; "
(<i>R</i>)-3-hydroxyvaleryl-CoA	"D-&beta;-hydroxyvaleryl-CoA; "
tetrahydroxypteridine	
3-methylbenzoyl-CoA	
1,2-naphthoquinone	
7-methylinosine	
9,10-epoxy-10,12Z-octadecadienoate	"9,10-EOD; 9,10-epoxy-10,12Z-octadecadienoic acid; "
guanosine 3'-monophosphate	"3'-guanylic acid; guanosine 3'-phosphate; 3'-GMP; "
"2,4-<i>O</i>-digalloyl-1,3,6-tri-<i>O</i>-&beta;-<i>D</i>-galloylglucose"	
<i>cis</i>-muurola-4(14),5-diene	
"&beta;-D-Gal<i>f</i>-(1->6)-&beta;-D-Gal<i>f</i>-(1->5)-&beta;-D-Gal<i>f</i>-rhamnosyl-<i>N</i>-acetyl-glucosaminyl-decaprenyl diphosphate"	"&beta;-D-Gal<i>f</i>-(1->6)-&beta;-D-Gal<i>f</i>-(1->5)-&beta;-D-Gal<i>f</i>-Rha-GlcNAc-P-P-C<sub>50</sub>; "
"16&alpha;,17-epoxy gibberellin A<sub>4</sub>"	"16&alpha;,17-epoxy GA<sub>4</sub>; "
hydroxylamine	"NH2OH; "
(2S)-pinocembrin	
tri-acyl estolide	
rhizobactin 1021	"(E)-4-[[3-(acetylhydroxyamino)propyl]-amino]-2-hydroxy-2-[2-[3-[hydroxy(1-oxo-2-decenyl)amino]propyl]amino]-2-oxoethyl]-4-oxobutanoic acid; "
3-(3'-methylthio)propylmalate	"3-(3'-methylthio)propylmalic acid; "
quercetagetin 3',6-dimethyl ether	"3,4',5,7-tetrahydroxy-3',6-dimethoxyflavone; 4',5,7-trihydroxy-3',6-dimethoxyflavonol; spinacetin; "
D-ribulose 1-phosphate	"D-ribulose-1-P; "
scopoletin	
<i>trans</i>-1,2-DCE	"<i>trans</i>-1,2-dichloroethene; "
3,6,7,2',4'-pentamethylquercetagetin	
quercetin-3-O-[glucosyl(1->6)glucoside]-7-O-rhamnoside	"quercetin 3-O-&beta;-[&beta;-D-glucopyranosyl(1->6)D-glucopyranoside]-7-O-&alpha;-L-rhamnopyranoside; "
equisetin	
"&alpha;-D,&alpha;-D-digalacturonate"	"&alpha;-D-GalA-(11&rarr;44)-&alpha;-D-GalA; pectin disaccharide; &alpha;-D-D-galactosyluronate-(1&rarr;4)-&alpha;-D-galacturonic acid; &alpha;-D,&alpha;-D-digalacturonic acid; "
indole-3-acetyl-phenylalanine	"IAA-Phe; IAA-phenylalanine; "
ribosyl hopane	"LMPR04000021; (5-D-ribonyl)hopane; "
(2R,3Z)-phycocyanobilin	
phomopsene	
dipotassium phosphate	"K<sub>2</sub>HPO<sub>4</sub>; "
dCTP	"2'-deoxycytidine-5'-(tetrahydrogen triphosphate); 2'-deoxycytidine-5'-triphosphate; deoxycytidine-triphosphate; deoxy-CTP; "
(-)-jasmonate	"jasmonic acid; (3R,7R)-(-)-jasmonate; (-)-jasmonic acid; "
tetradecyl hexacosanoate	
brassicicene E	
5-<i>cis</i>, 7-<i>trans</i>-tetradecadienoyl-CoA	"5Z, 7E-tetradecadienoyl-CoA; "
an unsaturated pectate trisaccharide	
2-amino,4-nitroanisole	"2-methoxy-5-nitroaniline; "
tirandamycin C2	
ethylphosphonate	"EPn; ethylphosphonic acid; "
benzonitrile	"cyanobenzene; phenyl cyanide; benzenenitrile; "
stigmasterol	
(4Z,7Z,10Z,13Z)-hexadecatetra-4,7,10,13-eneoate	"(4Z,7Z,10Z,13Z)-hexadecatetraeneoate; hexadeca-4,7,10,13-tetraenoate; "
orotidine 5'-phosphate	"Orotidylic acid; "
"3-O-methyl-&alpha;-D-glucopyranose"	
3-(3-hydroxyphenyl)propanoate	"m-hydroxyphenylpropionic acid; 3-(3-hydroxyphenyl)propanoic acid; dihydro-3-coumarate; MHP; m-hydroxyphenylpropionate; 3-(3-hydroxyphenyl)propionate; 3HPP; 3-(3-hydroxyphenyl)propionic acid; "
<i>N</i><sup>1</sup>-(3,4-dihydroxybenzoyl)-<i>N</i><sup>8</sup>,<i>N</i>'<sup>8</sup>-citryl-bis(spermidine)	
<i>trans</i>-caffeate	"(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid; 3,4-dihydroxy-<i>trans</i>-cinnamate; <i>trans</i>-caffeic acid; "
pentacosane	"n-pentacosane; "
4-oxo-4-(3-pyridyl)-butanoate	"&gamma;-oxo-3-pyridinebutanoate; 4-oxo-4-(3-pyridyl)-butanoic acid; 3-succinoyl-pyridine; 3-succinoylpyridine; &gamma;-oxo-3-pyridinebutanoic acid; "
tetraphosphate	"P<SUB>4,i</SUB>; inorganic open chain tetrapolyphosphate; "
(+-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone	
hispidin	"2-[2-(3,4-dihydroxyphenyl)ethenyl]-6-hydroxy-pyran-4-one; "
dimethylglycine	"glycine, N,N-dimethyl-; <i>N,N</i>-dimethylglycine; "
"bis(&beta;-D-glucosyl) crocetin"	"crocetin diglucosyl ester; "
1D-<i>myo</i>-inositol (1,2,3,4,6)-penta<i>kis</i>phosphate	"inositol (1,2,3,4,6)-penta<i>kis</i>phosphate; D-<i>myo</i>-inositol (1,2,3,4,6)-pentakisphosphate; Ins(1,2,3,4,6)P<sub>5</sub>; "
ubiquinone-1	
berberine	"umbellatine; "
5-dehydro-D-gluconate	"5-keto-D-gluconic acid; 5-dehydrogluconate; 5-keto-D-gluconate; 5-ketogluconate; "
5,10-methylenetetrahydropteroyl di-L-glutamate	"5,10-methylene-H<sub>4</sub>PteGlu<sub>2</sub>; "
cyclic-AMP	"adenosine-3',5'-cyclic monophosphate; adenosine cyclic-3',5'-monophosphate; adenosine-3',5'-monophosphate; 3',5'-cyclic AMP; adenosine 3',5'-cyclic phosphate; cAMP; adenosine-cyclic-phosphate; cyclic 3',5'-AMP; cyclic-3',5'-adenosine monophosphate; adenosine-cyclic-phosphoric-acid; adenosine cyclic-monophosphate; "
achromobactin	
5'-dehydroinosine	"5'-oxoinosine; "
(<i>R</i>)-lactoyl-CoA	"D-lactoyl-CoA; "
3-ketothreonate	"3-oxothreonate; "
a peptidoglycan dimer with pentapeptide stem (<i>meso</i>-diaminopimelate containing)	
soyasapogenol B	"24-hydroxysophoradiol; "
haematoporphyrin IX	"Hematoporphyrin I; Haematoporphyrin; Photodyn; hematoporphyrin IX; "
NMNH	"nicotinamide mononucleotide (reduced); "
3-(<i>O</i>-geranylgeranyl)-<i>sn</i>-glycerol 1-phosphate	"<i>sn</i>-3-(<i>O</i>-geranylgeranyl)glyceryl 1-phosphate; GGGP; "
<i>N</i>-(3-phenylpropanoyl)glycine	"phenylpropionylglycine; 2-(3-phenylpropanamido)acetate; "
heptamolybdate	
1-20:3-2-18:3-monogalactosyldiacylglycerol	"1-(11Z,14Z,17Z-eicosatrienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol; 1-(11Z,14Z,17Z-icosatrienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol; 20:3-18:3-MGDG; "
D-allothreonine	
O16 antigen undecaprenyl diphosphate	
2-carboxy-3-keto-D-arabinitol-1,5-bisphosphate	
seli-3,7(11)-diene	
mannosylinositol phosphorylceramide A (C24)	"MIPC-1 (C24); Man-&beta;1-2-Ins-1-P-Cer(d18:0/24:0); MIPC-A (C24); mannosylinositol phosphorylceramide A (C24); mannosylinositol phosphorylceramide A (18:0/24:0); "
(<i>S</i>)-propane-1,2-diol	"(<i>S</i>)-1,2-dihydroxypropane; (<i>S</i>)-propane-1,2-diol; L-1,2-propanediol; (<i>S</i>)-1,2-propane-diol; (<i>S</i>)-1,2-propanediol; "
"4&alpha;-methyl-5&alpha;-cholesta-8-en-3-one"	
2-hydroxyformononetin	
vitexin	"8C-hexosyl apigenin; apigenin 8-C-glucoside; "
(+)-dihydrocarveol	"(1S,2S,4S)-dihydrocarveol; (1S,2S,4S)-menth-8-en-2-ol; "
methyl ecgonone	"methyl (1<i>R,</i>2<i>R</i>,5<i>S</i>)-8-methyl-3-oxo- 8-azabicyclo[3.2.1]octane-2-carboxylate; 2-carbomethoxy-3-tropinone; "
hexacosanyl hexadecanoate	
5'-[(3-aminopropyl)methylamino]-5'-deoxyadenosine	
an imino group	
cyclic 3',5'-cytidine monophosphate	"cCMP; cytidine cyclic-monophosphate; cyclic 3',5'-CMP; cyclic-CMP; "
(3<i>R</i>)-<i>all-trans</i>-3-hydroxyretinol	
L-methionine-(<i>S</i>)-<i>S</i>-oxide	
6-seleno-octanoate	
3-methylbenzyl alcohol	"3-methyl-benzenemethanol; <i>m</i>-tolyl carbinol; <i>m</i>-methylbenzyl alcohol; "
purine nucleotide phosporamidate	
D-alanyl-poly(glycerolphosphate)	
robustaquinone H	"5-hydroxy-1,2,3,4-tetramethoxyanthraquinone; "
eupatolitin 3-glucoside	"eupatolitin 3-<i>O</i>-glucoside; "
(3S,6S)-6-isopropenyl-3-methyloxepan-2-one	"(3S,6S)-6-isopropenyl-3-methyl-oxo-oxepanone; "
okadate	"okadaic acid; 9,10-deepithio-9,10-didehydroacanthifolicin; "
campanin	"(7-<i>O</i>-(6-0<i>O</i>-(4-<i>O</i>-(6-<i>O</i>-(4-<i>O</i>-(6-<i>O</i>-p-hydroxybenzoyl-&beta;-D-glucopyranosyl) oxybenzoyl)-&beta;-D-glucopyranosyl) oxybenzoyl)-&beta;-D-glucopyranosyl)-3-<i>O</i>-6-<i>O</i>-(&alpha;-L-rhamnopyranosyl)-&beta;-D-glucopyranosyl) delphinidin; "
2-chloro-4-nitrotoluene	
myristoylated pyoverdine intermediate	
4-coumaryl-CoA	"<i>p</i>-coumaroyl-CoA; 4-hydroxycinnamoyl-CoA; 4-coumaroyl-CoA; <i>p</i>-coumaryl-CoA; "
allitol	
crepenynate	"(9Z)-octadec-9-en-12-ynoate; (Z)-9-octadecen-12-ynoic acid; crepenynic acid; "
3-hydroxy, 6-<i>trans</i>-tridecenoyl-CoA	"3-hydroxy, 6E-tridecenoyl-CoA; "
mercuric acetate	"mercury (II) acetate; mercuric diacetate; mercury (2+) acetate; "
tetrahydrogeranylgeranyl-PP	"tetrahydroGGPP; tetrahydrogeranylgeranyl pyrophosphate; tetrahydrogeranylgeranyl diphosphate; "
(1R)-trans-chrysanthemate	"(1R)-trans-chrysanthemic acid; "
4,4a-dihydroxy-dihydro-dibenzo-<I>p</I>-dioxin	
(9Z,12Z)-hexadeca-9,12-dienoyl-CoA	"16:2-delta9,12-CoA; 9z,12z-hexadecadienoyl-CoA; 9,12-cis-hexadecadienoyl-CoA; "
4,5-epoxy-17R-hydroxy-docosahexaenoate	"4,5-epoxy-17R-hydroxy-6E,8E,10Z,13Z,15E19Z-docosahexaenoate; 4,5-epoxy-17R-hydroxy-6E,8E,10Z,13Z,15E19Z-docosahexaenoic acid; "
borrelidin	"borrelidine; cyclopentanecarboxylic acid; treponemycin; "
2-methoxybenzoate	
trans-2,3-dehydroadipyl-coA	
copal-8-ol-diphosphate	"(13<i>E</i>)-8&alpha;-hydroxylabd-13-en-15-yl diphosphate; "
aminoacrylate	"3-aminoacrylate; (Z)-3-aminoacrylate; "
griseofulvin	"amudane; polygris; fulvicin UF; "
"4-deoxy-&beta;-D-gluc-4-enuronosyl-(1,3)-<i>N</i>-acetyl-D-galactosamine"	"4-deoxy-&Delta;<sup>4,5</sup>-&beta;-D-GlcAp-(1&rarr;3)-&beta;-D-GalNAc; 3-(4-deoxy-&beta;-D-gluc-4-enuronosyl)-<i>N</i>-acetyl-D-galactosamine; 3-(4-deoxy-&alpha;-L-<i>threo</i>-hex-4-enopyranosyluronic acid)-2-acetamido-2-deoxy-D-galactose; chondroitin disaccharide (unsulfated); "
(<i>R</i>)-synephrine	"oxedrine; 4-hydroxy-&alpha;-[(methylamino)methyl]benzenemethanol; sympatol; 1-(4-hydroxyphenyl)-2-(methylamino)ethanol; &beta;-methylamino-&alpha;-(4-hydroxyphenyl)ethyl alcohol; 1-(4-hydroxyphenyl)-2-methylaminoethanol; "
<i>N</i>-(quinolin-8-yl)methanesulfonamide	
4-chlorophenylacetonitrile	
kauralexin B2	"<i>ent</i>-kaur-15-en-17,19-dioate; <i>ent</i>-kauran-17,19-dioic acid; "
L-<i>N</i><sup>6</sup>-methyl-L-arginine	
L-seryl-glycine	
arginomycin	
quercetin 3,7-<i>O</i>-diglucoside	
<i>N</i>-acetyl-L-glutamate 5-semialdehyde	"<i>N</i>-acetyl-L-glutamate semialdehyde; 2-acetamido-5-oxopentanoate; <i>N</i>-acetyl-L-glutamate-5-semialdehyde; <i>N</i>-acetylglutamate &gamma;-semialdehyde; <i>N</i>-acetylglutamate semialdehyde; "
2,5-dihydroxybiphenyl	"phenylhydroquinone; 1,4-benzenediol, phenyl-; biphenyl-2,5-diol; hydroquinone, phenyl-; 2-phenylhydroquinone; "
"&beta;-D-glucuronate-(1,3)-&beta;-D-glucuronate-(1,3)-&beta;-D-glucuronate-(1,3)-hexose-(C55 &omega;-saturated dolichyl phosphate)"	
1-palmitoyl-2-linoleoyl-phosphatidylcholine	"1-hexadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine; 1-16:0-2-18:2-phosphatidylcholine; 16:0-18:2-PC; "
(3E)-4-(methylamino)-1-(pyridin-3-yl)but-3-en-1-one	
PR-imine	"Penicillium roqueforti imine; "
octadecanal	
dopaquinone	
4-methylumbelliferyl glucoside	"4-MU-glucoside; "
3,3'-dithiodipropanoate	"3,3'-dithiodipropionic acid; 3,3'-dithiodipropionate; "
"&beta;-glutamate"	"isoglutamate; 3-aminopentanoate; 3-aminoglutarate; 3-aminopentanedioate; "
"4-deoxy-&beta;-L-<i>erythro</i>-hex-4-enopyranuronosyl-(1,4)-D-<i>N</i>-sulfoglucosamine"	
metabisulfite	
2-dehydro-3-deoxy-L-arabinonate	"2-keto-3-deoxy-L-lyxonate; 2-dehydro-3-deoxy-L-xylonate; 2-dehydro-3-deoxy-L-pentonate; "
aeruginosin B	
1-carboxymethylpyridinium	"2-pyridin-1-ium-1-ylacetic acid; "
"(25<i>R</i>)-5&beta;-cholestane-3&alpha;,7&alpha;,26-triol"	
(2<i>Z</i>,4<i>Z</i>)-2-hydroxyhexa-2,4-dienoate	
(2<i>S</i>,5<i>R</i>)-5-carboxymethyl proline	
3,5-dichlorocatechol	"pyrocatechol; 3,5-dichloro-1,2-dihydroxybenzene; 3,5-dichloro-1,2-benzenediol; 3,5-dichloropyrocatechol; "
prostaglandin-H<sub>2</sub>	"(5Z,13E)-(15S)-9&alpha;,11&alpha;-epidioxy-15-hydroxyprosta-5,13-dienoate; (5Z,9&alpha;,11&alpha;,13E,15S)-9,11-epidioxy-15-hydroxy-prosta-5,13-dienoate; (5Z, 13E)-(15S)-9&alpha;,11&alpha;-epidioxy-15-hydroxyprosta-5,13-dienoate; "
lesqueroloyl-CoA	
5-methyldeoxycytidine diphosphate	
chryscandin	
"2-((6-O-(&beta;-D-apiofuranosyl)&beta;-D-glucopyranosyl)oxy)propane"	"&beta;-D-glucopyranoside, 1-methylethyl 6-O-D-apio-&beta;-D-furanosyl-; "
(enterobacterial common antigen)x2 undecaprenyl-diphosphate	
trichotriol	
tricosanoate	"tricosanoic acid; "
24-epicathasterone	
m-chlorohippurate	"m-chlorohippuric acid; "
<i>O</i>-citryl-L-serine	"<i>O</i>-citryl-serine; "
8C-glucosyl-2,5,7-trihydroxyflavanone	"8C-glucosyl-2-hydroxypinocembrin; "
propylphosphonate	"PPn; propanephosphonic acid; 1-propylphosphonic acid; propylphosphonic acid; "
(2<i>Z</i>,6<i>E</i>)-farnesyl diphosphate	"&omega;,<i>E,Z</i>-farnesyl diphosphate; 2-<i>cis</i>,6-<i>trans</i>-farnesyl diphosphate; "
chloroacetaldehyde	"2-chloroacetaldehyde; monochloroacetaldehyde; chloroethanal; 2-chloroethanal; chloroaldehyde; "
2,3-dihydroxy-5-methyl-1,4-benzoquinone	
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	"CAIR; 5-phosphoribosyl-4-carboxy-5-aminoimidazole; phosphoribosyl-carboxy-aminoimidazole; 1-(5-phosphoribosyl)-4-carboxy-5-aminoimidazole; 5'-P-ribosyl-4-carboxy-5-aminoimidazole; 5'-phosphoribosyl-4-carboxy-5-aminoimidazole; 1-(5'-phosphoribosyl)-4-carboxy-5-aminoimidazole; 1-(5'-phosphoribosyl)-5-amino-4-imidazole carboxylate; 4-carboxyaminoimidazole ribonucleotide; "
justicidin B	
<i>S</i>-(3-pentenyl)-L-cysteine <i>S</i>-oxide	
phosphatidylserine (1-palmitoyl, 2-cis-vaccenoyl)	
"&gamma;-glutamyl-L-putrescine"	"&gamma;-Glu-Put; gamma-L glutamylputrescine; &gamma;-glutamylputrescine; "
b-lido-HEX-1:5|6:a	"&beta;-Ido; "
methoxyfuraneol (enol form)	
b-xgal-HEX-1:5	"&beta;-Gal; "
4-aminoacetophenone	"4'-aminoacetophenone; 4-acetylaniline; 1-(4-aminophenyl)ethanone; <i>p</i>-aminoacetophenone; <i>p</i>-aminoacetylbenzene; <i>p</i>-acetylaniline; ethanone, 1-(4-aminophenyl)-; "
"&beta;-L-arabinofuranosyl-(2S,4S)-4-hydroxyproline"	"Ara-Hyp; "
"cyanidin 3-<i>O</i>-(6-<i>O</i>-&beta;-D-glucosyl-2-<i>O</i>-&beta;-D-xylosyl-&beta;-D-galactoside)"	
nitromethane	
terrequinone A	"2-hydroxy-6-(1H-indol-3-yl)-5-(3-methylbut-2-en-1-yl)-3-[2-(2-methylbut-3-en-2-yl)-1H-indol-3-yl]-1,4-benzoquinone; "
bisdemethoxycurcumin	
pentaerythritol tetranitrate	"PETN; "
6,7,4'-trihydroxyisoflavone	
1,3,5,8-tetrahydroxyxanthone	
(2E,4E,6E)-4-methylocta-2,4,6-trienedial	
CDP-tyvelose	"CDP-3,6-dideoxy-D-mannose; CDP-3,6-dideoxy-D-<i>arabino</i>-hexose; "
15-nonacosanone	"nonacosan-15-one; "
"&beta;-palatinose"	"&alpha;-D-glucopyranose-(1&rarr;6)-&beta;-D-fructofuranose; 6-O-&alpha;-D-glucopyranosyl-D-fructofuranose; "
"4&alpha;-methyl-cholesta-8-enol"	
"(-)-&alpha;-isocomene"	
2-hydroxylamino-4,6-dinitrotoluene	"2-HADNT; "
itaconate	"itaconic acid; methylenebutanedioic acid; methylenesuccinic acid; propylenedicarboxylic acid; 2-propene-1,2-dicarboxylic acid; 2-methylsuccinate; "
D-galactaro-1,4-lactone	"D-saccharic acid 1,4-lactone; 1,4-galactarolactone; galactaro-1,4-lactone; "
2-palmitoyl-<i>sn</i>-glycerol 3-phosphate	"2-hexadecanoyl-<i>sn</i>-glycerol 3-phosphate; "
trehalose-trans-keto-mono-mycolate	
8-choloroquinoline	
7-hydroxy-2-oxindole-3-acetic-acid	"7-hydroxy-2-indolinone-3-acetic acid; "
trithionate	"S<SUB>3</SUB>O<SUB>6</SUB>; "
3-chloro-L-alanine	"&beta;-chloro-L-alanine; "
1-18:1-2-18:2-phosphatidylinositol	"18:1-18:2-PI; 1-(9Z-octadecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho-(1'-myo-inositol); "
<i>N</i>-(octanoyl)-L-homoserine	"<i>N</i>-(octanoyl)homoserine; "
3-vinyl-bacteriochlorophyllide <i>a</i>	"2-deacetyl-2-vinyl bacteriochlorophyllide <i>a</i>; "
"2&alpha;-hydroxy-<i>ent</i>-cassadiene"	"<i>ent</i>-cassa-12,15-dien-2&alpha;-ol; "
4-hydroxy-2-nonenal-<i>N</i>-acetyl-L-cysteine	"2-acetamido-3-[(4-hydroxy-1-oxononan-3-yl)sulfanyl]propanoate; 4-hydroxy-2-nonenal-mercapturate; "
2-aminomuconate 6-semialdehyde	"2-aminomuconic 6-semialdehyde; 2-aminomuconic semialdehyde; (2E,4Z)-2-amino-6-oxohexa-2,4-dienoate; 2-aminomuconate semialdehyde; "
cylindrospermopsin	
indole-3-acetonitrile-cysteine conjugate	"Cys(IAN); 2-amino-3-{[cyano(1H-indol-3-yl)methyl]sulfanyl}propanoic acid; IAN-cysteine conjugate; "
"4&alpha;-methyl-5&alpha;-cholest-7-en-3&beta;-ol"	"lophenol; "
2-phthalimidoglutarate	"2-Phthalimidoglutaric acid; 2-(1,3-dioxoisoindol-2-yl)glutaric acid; Phthaloyl-L-glutamic acid; N-phthaloyl-L-glutamate; L-2-Phthalimidoglutaric acid; N-Phthalyl-L-glutamic acid; N-Phthaloyl-L-glutamic acid; "
3-hydroxy-<i>cis,cis</i>-muconate	
3,3',5'-triiodothyronamine	"4-[4-(2-aminoethyl)-2-iodo-phenoxy]-2,6-diiodo-phenol; rT3AM; "
futalosine	"3-{3-[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1,6-dihydro-9H-purin-9-yl)tetrahydrofuran-2-yl]propanoyl}benzoic acid; "
ginsenoside Rb2	
capnine	
nitric oxide	"nitrogen protoxide; nitrogen monoxide; NO; "
levopiramadiene-diol	
sch210972	
1-phenylpropane-1,2-dione	"1-phenyl-1,2-propanedione; "
2,4-dichlorobenzoate	"2,4-dichlorobenzoic acid; "
1-18:1-2-18:2-monogalactosyldiacylglycerol	"1-(9Z-octadecenoyl)-2-(9Z,12Z-octadecadienoyl)-3-O-beta-D-galactosyl-sn-glycerol; 18:1-18:2-MGDG; "
3,5-dimethylorsellinate	"3,5-dimethylorsellinic acid; "
(+)-neocarzinostatin chromophore	
hercynylselenocysteine <i>S</i>-oxide	"hercynylselenocysteine sulfoxide; "
<i>aldehydo</i>-D-glucose	"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal; linear D-glucose; "
1-[18-hydroxyoeoyl]-2-[18-hydroxy-lioleoyl]-<i>sn</i>-glycerol 3-phosphate	
bromochloromethane	"Methylene chlorobromide; "
"&gamma;-pentachlorocyclohexene"	"&gamma;-pentachlorocyclohexane; &gamma;-PCCH; "
7-(3-methylbut-2-enyl)-L-tryptophan	
"<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-diphosphate"	"iPRDP; isopentenyladenosine riboside-5'-diphosphate; isopentenyladenosine-5'-diphosphate; iPDP; "
2-amino-5-methylphenol	"4-amino-3-hydroxytoluene; 2-hydroxy-4-methylaniline; 6-amino-<i>m</i>-cresol; "
quercetin 7-O-glucoside	"quercimeritrin; "
2<i>H</i>-pyrrole	
D,L-lactamide	
UDP-<i>N</i>-acetyl-D-galactosamine 4-sulfate	
2,5,6-trihydroxy-5,6-dihydroquinoline	
7-methyl-3-oxooct-6-enoyl-CoA	"7-methyl-3-oxo-6-octenoyl-CoA; "
3-hydroxyhexadecanoate	"beta-Hydroxypalmitic acid; 3-hydroxyhexadecanoic acid; DL-beta-Hydroxypalmitic acid; 3-Hydroxypalmitic acid; "
ammeline	"ammelin; 4,6-diamino-1,3,5-triazin-2-ol; 2,4-diamino-1,3,5-triazin-6-one; "
5-deoxypyridoxal	
2-amino-4-oxopentanoate	"2-amino-4-ketopentanoate; "
2D-5-<i>O</i>-methyl-2,3,5/4,6-pentahydroxycyclohexanone	
2-aminocyclopentanedione	"SureCN5551230; AKOS006348081; "
D-arabinonate	"D-arabinonic acid; "
"TRIBOA-&beta;-D-glucoside"	"(2<i>R</i>)-4,7-dihydroxy-3-oxo-3,4-dihydro-2<i>H</i>-1,4-benzoxazin-2-yl &beta;-D-glucopyranoside; "
lubimin	
"1-palmitoyl-2-&alpha;-linolenoyl-phosphatidylcholine"	"1-16:0-2-18:3-phosphatidylcholine; 1-hexadecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine; 16:0-18:3-PC; phosphatidylcholine (1-16:0-2-18:3); "
"5-methyl-tetrahydropteroyl-&alpha;-glutamylglutamate"	
acetyl-methanofuran d	
benzoyl-L-arginine	
"GDP-&beta;-L-fucose"	
(<i>S</i>)-3-hydroxyhexanoyl-CoA	"3-OH-hexanoyl-CoA; OH-hexanoyl-CoA; "
PAI-1-2	"<i>N</i>-(butyryl)homoserine lactone; <i>N</i>-(butyryl)-L-homoserine lactone; autoinducer 1-2 (P. aeruginosa); "
2-methylthio-<i>N</i><sup>6</sup>-dimethylallyladenosine<sup>37</sup> in tRNA	"tRNA-(2-methylthio-<i>N</i><sup>6</sup>-dimethylallyladenosine<sup>37</sup>); a tRNA containing 2-methylthio-<i>N</i><sup>6</sup>-dimethylallyladenosine<sup>37</sup>; "
(+)-<i>trans</i>-isoalliin	"PRENSCO; S-1-propenyl-L-cysteine sulfoxide; "
"<i>trans</i>-cinnamoyl-&beta;-D-glucoside"	"1-<i>O</i>-trans-cinnamoyl-&beta;-D-glucopyranose; "
oxidized syringaldazine	
5-methoxy-benzimidazole	
tetracycline	
5-<i>O</i>-methylthujaplicatin	
poly (glycerol phosphate)	"(glycerophosphate)n+1; (glycerophosphate)n; Poly(glycerol phosphate); "
patulin	"(2,4-dihydroxy-2<i>H</i>-pyran-3(6<i>H</i>)-ylidene)acetic acid-3,4-lactone; clavacin; mycoine C3; claviformin; expansine; (2,4-dihydroxy-2<i>H</i>-pyran-3(6<i>H</i>)-ylidene)acetic acid, 3,4-lactone; expansin; 4,6-dihydro-4-hydroxy-2<i>H</i>-furo(3,2-c)pyran-2-one; claviform; clavatin; mycoin C3; patuline; "
7,4'-dihydroxy, 8-methoxyflavone	"4H-1-benzopyran-4-one, 7-hydroxy-2-(4-hydroxyphenyl)-8-methoxy-; "
(E)-non-3-en-2-one	
4-(1-methyl-5-hydroxy-2-pyrrolidinyl)-3-oxobutanoate methyl ester	
"pelargonidin 3-<i>O</i>-(3"",6""-<i>O</i>-dimalonyl-&beta;-glucopyranoside"	
5-methoxybenzimidazolylcobamide	
hydrazine	
L-indospicine	
hercynine	"<i>N</i><sup>&alpha;</sup>,<i>N</i><sup>&alpha;</sup>,<i>N</i><sup>&alpha;</sup>-trimethyl-L-histidine; "
roquefortine L	
"zeaxanthin bis(&beta;-D-glucoside)"	"zeaxanthin diglucoside; zeaxanthin-&beta;-D-diglucoside; "
phosphatidylglycerol (1,2-dicis-vaccenoyl)	
2-azasqualene	"DB03874; (4E,8E,12E,16E)-N,N,4,8,13,17,21-heptamethyldocosa-4,8,12,16,20-pentaen-1-amine; SQA; AC1L9MHF; "
moiramide B	
"12,13&beta;-epoxy-&beta;-amyrin"	
"7&beta;-hydroxytaxusin"	"7&beta;-hydroxytaxa-4(20),11-diene-5&alpha;,9&alpha;,10&beta;,13&alpha;-tetrayl tetraacetate; "
taurolithocholate	
(<i>S</i>)-(+)-allantoin	"<i>S</i>-allantoin; "
elymoclavine aldehyde	
anthramycin	
pyruvate-kinase phosphate	
thiocyanate	"hydrogen thiocyanate; thiocyanic acid; "
